192.168.0.1;IFW-FIREWALL
192.168.0.2;SRV-WEBAPP
192.168.0.3;SRV-BACKUP
192.168.0.4;SRV-RM
192.168.0.5;SRV-FITA
192.168.0.6;SWTHP-SRV-B
192.168.0.7;RAIDDELL
192.168.0.8;SWTTPLINK-LAV-F
192.168.0.9;SRV-BACKUP2
192.168.0.10;SWTTPLINK-MAN-E
192.168.0.11;SRV-MODELAGEM
192.168.0.12;SRV-BKPORACLE
192.168.0.13;SWTTPLINK-SRV-B
192.168.0.14;SWTTPLINK-SRV-C
192.168.0.15;SWTTPLINK-REC-D
192.168.0.16;DESK016
192.168.0.17;DESK017
192.168.0.18;DESK018
192.168.0.19;DESK019
192.168.0.20;DESK020
192.168.0.21;DESK021
192.168.0.22;DESK022
192.168.0.23;DESK023
192.168.0.24;DESK024
192.168.0.25;DESK025
192.168.0.26;DESK026
192.168.0.27;DESK027
192.168.0.28;DESK028
192.168.0.29;DESK029
192.168.0.30;DESK030
192.168.0.31;DESK031
192.168.0.32;DESK032
192.168.0.33;DESK033
192.168.0.34;DESK034
192.168.0.35;DESK035
192.168.0.36;DESK036
192.168.0.37;DESK037
192.168.0.38;DESK038
192.168.0.39;DESK039
192.168.0.40;DESK040
192.168.0.41;DESK041
192.168.0.42;DESK042
192.168.0.43;DESK043
192.168.0.44;DESK044
192.168.0.45;DESK045
192.168.0.46;DESK046
192.168.0.47;DESK047
192.168.0.48;DESK048
192.168.0.49;DESK049
192.168.0.50;DESK050
192.168.0.51;DESK051
192.168.0.52;DESK052
192.168.0.53;DESK053
192.168.0.54;DESK054
192.168.0.55;DESK055
192.168.0.56;DESK056
192.168.0.57;DESK057
192.168.0.58;DESK058
192.168.0.59;DESK059
192.168.0.60;DESK060
192.168.0.61;DESK061
192.168.0.62;DESK062
192.168.0.63;DESK063
192.168.0.64;DESK064
192.168.0.65;DESK065
192.168.0.66;DESK066
192.168.0.67;DESK067
192.168.0.68;DESK068
192.168.0.69;DESK069
192.168.0.70;DESK070
192.168.0.71;DESK071
192.168.0.72;DESK072
192.168.0.73;DESK073
192.168.0.74;DESK074
192.168.0.75;DESK075
192.168.0.76;DESK076
192.168.0.77;DESK077
192.168.0.78;DESK078
192.168.0.79;DESK079
192.168.0.80;DESK080
192.168.0.81;DESK081
192.168.0.82;DESK082
192.168.0.83;DESK083
192.168.0.84;DESK084
192.168.0.85;DESK085
192.168.0.86;DESK086
192.168.0.87;DESK087
192.168.0.88;DESK088
192.168.0.89;DESK089
192.168.0.90;DESK090
192.168.0.91;DESK091
192.168.0.92;DESK092
192.168.0.93;DESK093
192.168.0.94;DESK094
192.168.0.95;DESK095
192.168.0.96;DESK096
192.168.0.97;DESK097
192.168.0.98;DESK098
192.168.0.99;DESK099
192.168.0.100;DESK100
192.168.0.101;DESK101
192.168.0.102;DESK102
192.168.0.103;DESK103
192.168.0.104;DESK104
192.168.0.105;DESK105
192.168.0.106;DESK106
192.168.0.107;DESK107
192.168.0.108;DESK108
192.168.0.109;DESK109
192.168.0.110;DESK110
192.168.0.111;DESK111
192.168.0.112;DESK112
192.168.0.113;DESK113
192.168.0.114;DESK114
192.168.0.115;DESK115
192.168.0.116;DESK116
192.168.0.117;DESK117
192.168.0.118;DESK118
192.168.0.119;DESK119
192.168.0.120;DESK120
192.168.0.121;DESK121
192.168.0.122;DESK122
192.168.0.123;DESK123
192.168.0.124;DESK124
192.168.0.125;DESK125
192.168.0.126;DESK126
192.168.0.127;DESK127
192.168.0.128;DESK128
192.168.0.129;DESK129
192.168.0.130;DESK130
192.168.0.131;DESK131
192.168.0.132;DESK132
192.168.0.133;DESK133
192.168.0.134;DESK134
192.168.0.135;DESK135
192.168.0.136;DESK136
192.168.0.137;DESK137
192.168.0.138;DESK138
192.168.0.139;DESK139
192.168.0.140;DESK140
192.168.0.141;DESK141
192.168.0.142;DESK142
192.168.0.143;DESK143
192.168.0.144;DESK144
192.168.0.145;DESK145
192.168.0.146;DESK146
192.168.0.147;DESK147
192.168.0.148;DESK148
192.168.0.149;DESK149
192.168.0.150;DESK150
192.168.0.151;DESK151
192.168.0.152;DESK152
192.168.0.153;DESK153
192.168.0.154;DESK154
192.168.0.155;DESK155
192.168.0.156;DESK156
192.168.0.157;DESK157
192.168.0.158;DESK158
192.168.0.159;DESK159
192.168.0.160;DESK160
192.168.0.161;DESK161
192.168.0.162;DESK162
192.168.0.163;DESK163
192.168.0.164;DESK164
192.168.0.165;DESK165
192.168.0.166;DESK166
192.168.0.167;DESK167
192.168.0.168;DESK168
192.168.0.169;DESK169
192.168.0.170;DESK170
192.168.0.171;DESK171
192.168.0.172;DESK172
192.168.0.173;DESK173
192.168.0.174;DESK174
192.168.0.175;DESK175
192.168.0.176;DESK176
192.168.0.177;DESK177
192.168.0.178;DESK178
192.168.0.179;DESK179
192.168.0.180;DESK180
192.168.0.181;DESK181
192.168.0.182;DESK182
192.168.0.183;DESK183
192.168.0.184;DESK184
192.168.0.185;DESK185
192.168.0.186;DESK186
192.168.0.187;DESK187
192.168.0.188;DESK188
192.168.0.189;DESK189
192.168.0.190;DESK190
192.168.0.191;DESK191
192.168.0.192;DESK192
192.168.0.193;DESK193
192.168.0.194;DESK194
192.168.0.195;DESK195
192.168.0.196;DESK196
192.168.0.197;DESK197
192.168.0.198;DESK198
192.168.0.199;DESK199
192.168.0.200;DESK200
192.168.0.201;DESK201
192.168.0.202;DESK202
192.168.0.203;DESK203
192.168.0.204;DESK204
192.168.0.205;DESK205
192.168.0.206;DESK206
192.168.0.207;DESK207
192.168.0.208;DESK208
192.168.0.209;DESK209
192.168.0.210;DESK210
192.168.0.211;DESK211
192.168.0.212;DESK212
192.168.0.213;DESK213
192.168.0.214;DESK214
192.168.0.215;DESK215
192.168.0.216;DESK216
192.168.0.217;DESK217
192.168.0.218;DESK218
192.168.0.219;DESK219
192.168.0.220;DESK220
192.168.0.221;DESK221
192.168.0.222;DESK222
192.168.0.223;DESK223
192.168.0.224;DESK224
192.168.0.225;DESK225
192.168.0.226;DESK226
192.168.0.227;DESK227
192.168.0.228;DESK228
192.168.0.229;DESK229
192.168.0.230;DESK230
192.168.0.231;DESK231
192.168.0.232;DESK232
192.168.0.233;DESK233
192.168.0.234;DESK234
192.168.0.235;DESK235
192.168.0.236;DESK236
192.168.0.237;DESK237
192.168.0.238;DESK238
192.168.0.239;DESK239
192.168.0.240;DESK240
192.168.0.241;DESK241
192.168.0.242;DESK242
192.168.0.243;DESK243
192.168.0.244;DESK244
192.168.0.245;DESK245
192.168.0.246;DESK246
192.168.0.247;DESK247
192.168.0.248;DESK248
192.168.0.249;DESK249
192.168.0.250;DESK250
192.168.0.251;DESK251
192.168.0.252;DESK252
192.168.0.253;DESK253
192.168.0.254;DESK254
